,Price,Currency,Euro_Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
2789,534000,EUR,1184590,Flybridge,Azimut power boats,"Used boat,Diesel",2008,21.6,5.5,GRP,Croatia,144
2790,530000,EUR,1180000,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",1999,24,6.08,GRP,Croatia,30
2791,530000,EUR,1180000,Flybridge,Ferretti power boats,"Used boat,Diesel",2002,22.33,5.48,GRP,Germany,52
2792,530000,EUR,1175000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2001,22.56,5.21,GRP,Spain,72
2793,530000,EUR,1163760,Motor Yacht,Blu Martin power boats,"Used boat,Diesel",2011,17.07,5.03,GRP,Italy,48
2794,530000,EUR,1150000,Motor Yacht,Tuccoli power boats,"Used boat,Diesel",2017,13.65,4.1,GRP,Italy,59
2795,529000,EUR,1150000,Motor Yacht,Sealine power boats,"new boat from stock,Diesel",2020,12.5,3.85,GRP,Germany,81
2797,529000,EUR,1100000,Motor Yacht,Haines power boats,Used boat,2018,12.2,4.06,GRP,Netherlands,79
2798,479000,Â£,1100000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2013,15.79,4.27,GRP,Portugal,60
2799,550000,EUR,1100000,Hardtop,Azimut power boats,"Used boat,Diesel",2006,20.65,5.07,GRP,Italy,106
2800,550000,EUR,1100000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2013,15.44,4.47,GRP,Croatia,156
2801,550000,EUR,1100000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2007,19.81,5.03,GRP,Spain,36
2803,550000,EUR,1100000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2018,14.78,4.2,PVC,France,52
2805,550000,EUR,1095500,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2013,19.5,5.12,PVC,Croatia,99
2806,550000,EUR,1095000,Flybridge,Sanlorenzo power boats,"Used boat,Diesel",2000,22.78,5.68,GRP,Italy,32
2807,550000,EUR,1090000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2006,19.6,5.03,GRP,Portugal,124
2809,550000,EUR,1090000,Motor Yacht,Overmarine power boats,"Used boat,Diesel",2004,23.23,5.6,GRP,France,63
2810,550000,EUR,1085000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,19.81,5.03,GRP,France,89
2812,550000,EUR,1084800,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2013,19.5,5.12,PVC,Montenegro,46
2813,550000,EUR,1080000,House Boat,Baikal power boats,"new boat on order,Diesel",2021,18,8,Steel,Russian,464
2814,550000,EUR,1066000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2014,14.23,4.33,GRP,Egypt,81
2815,578600,EUR,1059295,Hardtop,Cranchi power boats,"new boat on order,Diesel",2020,13.82,4.06,GRP,Switzerland,417
2816,576384,EUR,1053600,Sport Boat,Cranchi power boats,new boat from stock,2020,11.85,3.53,GRP,Austria,214
2817,575000,EUR,999000,Flybridge,Azimut power boats,"Used boat,Diesel",2000,21.3,5.48,GRP,Spain,122
2820,573936,EUR,999000,Hardtop,Sealine power boats,"new boat from stock,Diesel",2019,12.5,3.85,PVC,France,134
2821,572200,EUR,998500,Flybridge,Galeon power boats,"new boat on order,Diesel",2020,12.5,4,GRP,Germany,429
2822,519950,Â£,998000,Motor Yacht,Princess power boats,"Used boat,Diesel",2012,16.64,4.48,GRP,United state,63
2824,570000,EUR,995000,Flybridge,Sunseeker power boats,"Used boat,Diesel",2009,15.85,4.57,GRP,Croatia,27
